3d_printing_service;[services_and_business,printing_service,3d_printing_service]
abortion_clinic;[health_care,specialized_medical_facility,abortion_clinic]
abrasives_supplier;[services_and_business,b2b_service,supplier_or_distributor,abrasives_supplier]
abuse_and_addiction_treatment_center;[health_care,specialized_medical_facility,abuse_and_addiction_treatment_center]
academic_bookstore;[shopping,specialty_store,books_music_and_video_store,bookstore,academic_bookstore]
academy;[education,place_of_learning,academy]
acai_bowls;[food_and_drink,restaurant,special_diet_restaurant,acai_bowls]
accommodation;[accommodation]
accountant;[services_and_business,financial_service,accountant]
acne_treatment;[lifestyle_services,personal_or_beauty_service,acne_treatment]
acoustical_consultant;[services_and_business,technical_service,acoustical_consultant]
active_life;[active_life]
acupuncture;[health_care,outpatient_care_facility,complementary_and_alternative_medicine,acupuncture]
addiction_rehabilitation_center;[health_care,outpatient_care_facility,physical_medicine_and_rehabilitation,rehabilitation_center,addiction_rehabilitation_center]
adoption_service;[services_and_business,family_service,adoption_service]
adoption_services;[professional_services,adoption_services]
adult_education_center;[education,place_of_learning,adult_education_center]
adult_entertainment;[arts_and_entertainment,adult_entertainment]
adult_entertainment_venue;[arts_and_entertainment,nightlife_venue,adult_entertainment_venue]
adult_store;[shopping,specialty_store,adult_store]
adventist_place_of_worship;[cultural_and_historic,place_of_worship,christian_place_of_worship,protestant_place_of_worship,adventist_place_of_worship]
adventure_sport;[sports_and_recreation,sport_or_fitness_facility,adventure_sport]
adventure_sports_center;[sports_and_recreation,sport_or_fitness_facility,adventure_sports_center]
advertising_agency;[services_and_business,professional_service,advertising_agency]
aerial_fitness_center;[sports_and_recreation,sport_or_fitness_facility,fitness_studio,aerial_fitness_center]
aerial_tour;[travel_and_transportation,travel_service,tour_operator,aerial_tour]
aerial_tours;[travel,tours,aerial_tours]
aesthetic_medicine;[health_care,outpatient_care_facility,specialized_health_care,medical_skin_care,aesthetic_medicine]
afghan_restaurant;[eat_and_drink,restaurant,afghan_restaurant]
afghani_restaurant;[food_and_drink,restaurant,asian_restaurant,central_asian_restaurant,afghani_restaurant]
african_restaurant;[food_and_drink,restaurant,african_restaurant]
after_school_program;[education,educational_service,after_school_program]
aggregate_supplier;[services_and_business,b2b_service,supplier_or_distributor,aggregate_supplier]
agricultural_cooperative;[services_and_business,b2b_service,b2b_agriculture_service,agricultural_cooperative]
agricultural_cooperatives;[business_to_business,b2b_agriculture_and_food,agricultural_cooperatives]
agricultural_engineering_service;[business_to_business,b2b_agriculture_and_food,agricultural_engineering_service]
agricultural_seed_store;[shopping,specialty_store,farming_equipment_and_supply_store,agricultural_seed_store]
agricultural_service;[services_and_business,agricultural_service]
agriculture;[services_and_business,b2b_service,b2b_agriculture_service,agriculture]
agriculture_association;[services_and_business,agricultural_service,agriculture_association]
agritourism;[travel_and_transportation,travel_service,agritourism]
agriturismo;[travel,agriturismo]
air_duct_cleaning_service;[services_and_business,home_service,air_duct_cleaning_service]
air_transport_facility_or_service;[travel_and_transportation,air_transport_facility_or_service]
aircraft_dealer;[shopping,vehicle_dealer,aircraft_dealer]
aircraft_manufacturer;[services_and_business,b2b_service,manufacturer,vehicle_manufacturer,aircraft_manufacturer]
aircraft_parts_and_supplies;[travel_and_transportation,air_transport_facility_or_service,aircraft_parts_and_supplies]
aircraft_service;[travel_and_transportation,vehicle_service,aircraft_service]
airline;[travel_and_transportation,air_transport_facility_or_service,airline]
airline_ticket_agency;[travel_and_transportation,air_transport_facility_or_service,airline_ticket_agency]
airlines;[travel,transportation,airlines]
airport;[travel_and_transportation,air_transport_facility_or_service,airport]
airport_lounge;[food_and_drink,alcoholic_beverage_venue,lounge,airport_lounge]
airport_shuttle;[travel_and_transportation,air_transport_facility_or_service,airport_shuttle]
airport_shuttles;[travel,transportation,airport_shuttles]
airport_terminal;[travel_and_transportation,air_transport_facility_or_service,airport,airport_terminal]
airsoft_field;[sports_and_recreation,sport_or_fitness_facility,sport_field,airsoft_field]
airsoft_fields;[active_life,sports_and_recreation_venue,airsoft_fields]
alcohol_and_drug_treatment_center;[health_care,specialized_medical_facility,abuse_and_addiction_treatment_center,alcohol_and_drug_treatment_center]
alcohol_and_drug_treatment_centers;[health_and_medical,abuse_and_addiction_treatment,alcohol_and_drug_treatment_centers]
alcoholic_beverage_venue;[food_and_drink,alcoholic_beverage_venue]
algerian_restaurant;[food_and_drink,restaurant,african_restaurant,north_african_restaurant,algerian_restaurant]
